Session Id,Title,Description,Speakers,Session format,Level,Pre-requisites for attendees?,Topic of your presentation,Neo4j Use-Case,Your Timezone,Status,Date Submitted,Speaker Ids
369057,Blazing Fast Graphs 🔥: Hands-On With Apache Arrow and Neo4j,"Learn how to leverage Apache Arrow for blazing fast construction of Neo4j graph projections, ludicrously fast exporting of complex graph features, and more. If you're a Data Scientist looking to experiment with your millions of node embeddings or a Data Engineer looking to decrease deployment time, you should check out Neo4j's Apache Arrow support!

We'll work through exercises loading data from cloud object storage and cloud data warehouses directly to Neo4j. Since this is about the full lifecycle, we'll also work through pulling the data back out into other cloud storage systems.

Along the way, we'll cover some best practices related to:

* using the Neo4j Graph Data Science Python client
* how to parallelize in Python without headaches",Dave Voutila,Workshop >2 hours,Advanced,"Python knowledge (can import modules, write a function, and use core primatives like Dictionaries), familiarity with a Jupyter notebook","Performance, Graph Data Science",General,US Eastern,Accepted,25 Jul 2022 08:49 PM,1072622f-3c07-4256-8a51-0ecbb22044f0
373003,Neo4j Drivers Best Practices,"Neo4j & Neo4j AuraDB support Python, JavaScript, Java, Go, and .NET. In this session, we’ll cover some best practices for using Neo4j drivers in your application. We'll provide worked code examples of the most common things people try to do, and good patterns that will making coding with Neo4j easier. We will also dive into how querying a Neo4j database works, how Neo4j clusters operate, how queries are sent through the system, and what's happening under the hood of how drivers work.",M. David Allen,Full Session 30-45 min,Intermediate,Have tried any of Neo4j's programming language drivers,API/Drivers (Python,General,EST,Accepted,7 Aug 2022 09:30 PM,ea37a4c6-82d3-4f31-9cf2-6e644b3776ae
386925,Welcome to NODES 2022,We're so excited to welcome you here at NODES 2022 the Neo4j Online Developer Education Summit. Hear what you can expect in the next 24 hours and learn how to use the NODES event platform.,Michael Hunger,Lighting Talk 10-15 min,Introductory and overview,,"Other, Featured",,,Accepted,20 Sep 2022 11:44 PM,a035c1ab-f6b9-40d7-b626-5b2da7f43e92
386573,Keynote: Social Network Interventions,"A deep understanding of social networks can be used to create an artificial tipping point, changing population behavior by fostering behavioral cascades. Here, we experimentally test this proposition. We show that network-based targeting substantially increases population-level adoption of new behaviors. In part, this works by driving indirect treatment effects among the nontargeted members of the population (among people who were not initially part of the treatment group but who were affected by treatment of others in their population). The techniques we demonstrate can be easily implemented in global health (and elsewhere), as they do not require knowledge of the whole network. The novel pair-targeting technique explored here is particularly powerful and easy to implement.",Nicholas Christakis,Full Session 30-45 min,Introductory and overview,,"Knowledge Graph, Featured",General,,Accepted,19 Sep 2022 09:53 PM,85612b2a-6903-46a6-a8dc-8a17e79ab953
373078,Modeling NFT Tweets as a Knowledge Graph Using Neo4j,"In this session, we will try to play with a chunk of NFT data grabbed by my research team recently. I'll show how we can model this data as a Knowledge Graph using CSV importer tool and play around with it.  ",Siraj Munir,Lighting Talk 10-15 min,"Introductory and overview, Intermediate",Nothing just some basic Knowledge of Neo4j and Knowledge Graph,Knowledge Graph,"General, Blockchain",CEST ,Accepted,8 Aug 2022 10:47 AM,51f8644e-4c5b-4ed1-86c9-e0b36572fc31
375851,Graph Traversal: Graph Pattern Matching vs. Traversal API,"Let's talk about the new graph pattern matching features for 5.x in Neo4j, what they achieve and why you might still want to use the Traversal API after all. This will include a general introduction to Graph pattern matching in Cypher and the Traversal API, as well as the comparison between the two.","Nadja Müller, Petra Selmer",Full Session 30-45 min,"Advanced, Intermediate",,"Database, Cypher, Performance",General,CET,Accepted,19 Aug 2022 12:58 PM,"64a88ccb-1aca-4215-8ae3-3edacccf5a05, 64c8dc40-38ad-4338-a7c0-7e20b2059456"
381187,Introducing Neo4j 5 for Administrators,"In this session, we introduce Neo4j version 5 to the world, with an overview of the new features","John Stegeman, Stu Moore",Full Session 30-45 min,"Introductory and overview, Intermediate, Advanced, Expert",,"Database, API/Drivers (Python, Cypher, Security, Performance",General,,Accepted,1 Sep 2022 12:04 PM,"b6c16819-84d2-4cf1-919a-ab6e05dacc7e, ab365819-2a3a-4edf-99e2-6d8b78953c13"
376103,ESG Supply Chain Knowledge Graph,"We will create a Knowledge Graph and see how different data sources can be added to create new value in terms of ESG related topics. This is of special interest as there will be a new supply chain legislation in the EU. Some companies, however, already publish their supplier lists. This will be the starting point for us. Then we will add more and more data to not only analyze the supply chain itself but also to analyze the supply chain in terms of ESG-related topics. In our presentation, the focus is particularly on companies in the textile industry such as Adidas, Nike or H&M. Different data will be used. On the one hand, the data comes from the companies themselves. Some companies already publish their supply chain voluntarily. On the other hand, data from publicly accessible databases, government publications and media reports are also used.",Dr. Julian Gruemmer,Lighting Talk 10-15 min,Introductory and overview,,"Knowledge Graph, Analytics","Financial, Shipping and Logistics",Berlin,Accepted,20 Aug 2022 03:54 PM,0baf59fb-f0f8-49b0-863d-aa6692d44f2d
374380,Bootstrapping Your Graph Project With Neo4j Workspace,"Learn how to use the new Workspace which blends Import, Query and Explore functionality to quickly take an idea and some data, load to a graph model and quickly derive unique insights.",Gregory King,Full Session 30-45 min,Introductory and overview,,Other,General,GMT,Accepted,12 Aug 2022 03:42 PM,d33d9e3a-00d5-4b4a-b1f8-d6c53b400951
378001,GNNs at Scale With Graph Data Science Sampling and Python Client Integration,"Graph neural networks (GNN) is a tool that brings great predictive power to graph machine learning tasks such as link prediction and node classification. However, GNN architectures are typically very compute heavy and as such are not feasible to run at massive scale. In this talk we will leverage the graph sampling features of the Neo4j Graph Data Science (GDS) library as well as the inductive power of GNNs to bring GNNs to scale. We will also show how the GDS Python Client can with great performance be used to integrate the GDS workflow with other GNN Python libraries.",Adam Schill Collberg,Full Session 30-45 min,Advanced,"Basic Python, basic machine learning, some familiarity with GDS, PyTorch and GNNs could also be useful","Graph Data Science, Analytics, Machine Learning, Performance",General,,Accepted,25 Aug 2022 08:37 AM,e543cb48-2c5c-4a14-bd40-6d58c594eb68
