Speaker Id,FirstName,LastName,TagLine,Bio,timezone,City,Country,Ninja,LinkedIn,Blog,Twitter,Company Website,Profile Picture
015f0130-38c8-40ae-b334-4e836173f659,Benjamin,Geugan,"Graphable, Consultant","Benjamin Guegan is a Consultant at Graphable. He holds a MS in Computer Science, with additional education in other diverse engineering disciplines. As part of the Global Serialization Initiative, he managed the system implementation project of the European Union Falsified Medicine Directive, for four branches of a contract manufacturing group. Benjamin likes to keep a focus on Global Best Practices and is capable in a variety of different programming techniques and languages. Outside of Graphable, he enjoys spending time with his children.",,,,,,,,,https://sessionize.com/image/f758-400o400o2-31H8gPXcWabg9PdK2sZEjC.png
03adbe35-c186-4bb2-9bc8-cf513ee990b6,Vlad,Batushkov,Software Engineering Manager at Agoda,"Vlad Batushkov is the Frontend Tech Lead and Engineering Manager at Agoda, one of the world’s largest online travel platforms.  He is a contributing writer for the Agoda Engineering blog and the Neo4j blog.",GMT+7,,,Not checked,https://www.linkedin.com/in/vladbatushkov/,https://vladbatushkov.medium.com/,,,https://sessionize.com/image/c7b9-400o400o2-774HE7x8yS66ZcTqgiwqkQ.jpg
04a82b32-2066-418b-9c18-6ad462d77c1a,Owen,Brierley,Game Design Researcher and PhD Candidate in Computational Media Design at the University of Calgary,"Owen Brierley is a 30-year veteran of the interactive digital media sector who has a passion for exploring integrations across disciplines. As a researcher, Owen's intense curiosity leads him to combine media forms to solve thorny challenges in both arts and technologies. His latest work, as part of his doctoral thesis, brings the power of Neo4j into the world of 3D games and simulations. From non-deterministic and procedural animations of proteins in a cell to the humble act of training an AI character to go grocery shopping, Owen seeks to bridge the worlds of real-time simulations with graph data science.",,,,Not checked,http://www.linkedin.com/owenb,http://www.obicorp.online/journal,http://www.twitter.com/owen_brierley,http://www.lindsayvirtualhuman.com,https://sessionize.com/image/f745-400o400o2-Hfqfiudcivsn3rNDtwieZf.png
05b399f0-b298-415b-8676-00c309dead29,Estelle,Scifo,Data Scientist & CTO of SmartGrid Communications Inc.,"Estelle Scifo is a data scientist and the CTO of SmartGrid Communications. Ever since she discovered graph machine learning and graph databases a few years ago, she couldn't stop modeling the world with graphs.

She is the creator and maintainer of neomap (Neo4j Desktop application to visualize spatial data) and the author of ""Exploring Graph Algorithms with Neo4j"" (video) and ""Hands-on Graph Analytics with Neo4j"" (book) via Packt Publishing.",GMT+1,Le Puy Sainte Réparade,France,Checked,http://linkedin.com/in/estellescifo/,,http://twitter.com/st3llasia,,https://sessionize.com/image/bd7d-400o400o2-3ZUd7GSTWH1y1NAXh4Bbi.jpg
05be364d-a57f-4e08-978d-8043d43db097,Mark,Heckler,"Principal Cloud Advocate, Java/JVM Languages at Microsoft","Mark Heckler is a software developer serving as Principal Cloud Developer Advocate for Java/JVM Languages at Microsoft. He is a conference speaker, Java Champion, and Kotlin Developer Expert focused on developing innovative production-ready software at velocity for cloud and edge computing platforms. 

Mark has worked with key players in numerous industries and public sector organizations to develop and deliver critical capabilities on time and on budget. Mark is an open source contributor and author of Spring Boot: Up and Running (https://bit.ly/springbootbook).  You can find him on Twitter at @mkheck.",,,,Checked,https://www.linkedin.com/in/markheckler/,https://www.thehecklers.com,https://twitter.com/mkheck,https://azure.microsoft.com,https://sessionize.com/image/7cb4-400o400o2-4d-a57f-4e08-978d-8043d43db097.be36bb9a-fec3-4e72-a83e-0482a0f35d70.jpg
05c51f22-c84a-4c00-a435-d4e139fd9e84,Matt,Casters,"Neo4j Chief Solutions Architect, Apache Hop PMC",Matt is the founder of the Kettle project since 2001. He's co-founder and Apache Hop PMC.   He's working as a chief architect of solutions at Neo4j using Kettle and Hop to load data into graphs.,,,,,https://www.linkedin.com/in/mattcasters/,https://hop.apache.org/blog/,https://twitter.com/mattcasters,https://hop.apache.org,https://sessionize.com/image/7acd-400o400o2-22-c84a-4c00-a435-d4e139fd9e84.dadd97a5-0c99-484e-9b7e-f2fafa237b2d.jpg
07c1e231-853a-4b0a-994c-a85b9454f758,Elena,Kohlwey,Specialist Digital Engineering at RLE International,"Elena Kohlwey completed her studies in European Business and in Mathematics, which leads her into building intelligent applications that yield business benefits. She has spent the last three and a half years at RLE International, specializing in the field of graph-based applications with Neo4j.",,,,Checked,https://www.linkedin.com/in/elena-kohlwey-00924a14b/,,,https://www.rle.international/?lang=en,https://sessionize.com/image/ce44-400o400o2-7Z1GvZrvjzz5i2TucoFh7y.jpg
0948aa0c-06e9-4ac1-a211-96bf87be5299,Nicolas,Mervaillie,Senior Consultant at Neo4j,"Nicolas Mervaillie is a software developer and consultant with 20+ years of experience in various industries such as retail, insurance, e-commerce, and law enforcement. He likes translating business requirements into technical solutions using graphs.

Nicolas is a senior consultant in Neo4j Professional Services, architecting and developing Neo4j-based projects. He's also involved in the Neo4j Community, coathored the book ""Neo4j - A Graph Project Story,"" and is both an organizer and speaker at meetups.

In addition to graphs, Nicolas enjoys traveling, trail running, and cooking for his wife and two daughters.
",GMT+1,,,Not checked,https://www.linkedin.com/in/nicolas-mervaillie/,,https://twitter.com/nmervaillie,https://neo4j.com/,https://sessionize.com/image/3285-400o400o2-NYVDwRcumKDDXtcnue29Et.png
0a2b1310-f230-4458-8d78-a6a6c5feab70,Kateryna,Nesvit,"Visiting Professor in Data Science, College of Business, Innovation, Leadership, and Technology at Marymount University","Dr. Kateryna Nesvit has a Ph.D. in mathematical simulation and methods of calculation. Before that, she earned master's and bachelor's degrees in applied mathematics.

For 11 years, she has taught university courses in applied and computational mathematics, including numerical analysis, data science, knowledge graphs, data analysis, recommendation systems, and others. Dr. Nesvit supervises, supports, and inspires students and colleagues with new technologies to make the world a better place.

Dr. Nesvit has 65 published papers, including one scientific patent. She gave 34 talks at conferences and congresses in Europe and the United States.

In addition to her academic path, Dr. Nesvit spent seven years in industry. At the beginning of her career, she joined an IT company as a data scientist and built a recommendation engine for a social media app using the Neo4j database. Next, she joined another IT company as Vice President of Data Science and built a data science platform that predicts compensation for talent for more than 15,000 companies across the IT industry.

Dr. Nesvit focuses on applying technology and computing; she likes to use it to teach and share knowledge.",GMT-4,,,Not checked,https://www.linkedin.com/in/kateryna-nesvit/,,,,https://sessionize.com/image/4bd1-400o400o2-wjHqqped2cMk2cMm5KUQXj.png
0a3509c7-b9c4-400a-8c70-1969b875ffe0,Zach,Probst,Senior Software Engineer at Intuit,"Zach Probst is a Software Engineer and Security professional at Intuit. But more than that, he is a technologist passionate about cybersecurity. He loves to make tools that help developers worry less about doing things in a secure fashion, and more time building cool things! ",,,,Not checked,https://www.linkedin.com/in/zach-probst,,,https://www.intuit.com/,https://sessionize.com/image/a62e-400o400o2-7CNdoijmqeAxxSc29FB4pY.jpg
