Date,Title,StartTime,EndTime,Type,Start,End
2022-06-05,3 Ways You Can Use Ontologies in Neo4j,14:30,16:00,Workshop,2022-06-05T14:30:00,2022-06-05T16:00:00
2022-06-05,"99.9999% (Seriously, that Many 9's) Uptime at Adobe: How We Got There with Neo4j",15:15,16:00,Full Length Session,2022-06-05T15:15:00,2022-06-05T16:00:00
2022-06-05,A Fusion of Machine Learning and Graph Analysis for Free-Form Data Entry Clustering,11:15,12:00,Full Length Session,2022-06-05T11:15:00,2022-06-05T12:00:00
2022-06-05,A Real World Case Study for Implementing an Enterprise Scale Data Fabric,16:00,16:45,Full Length Session,2022-06-05T16:00:00,2022-06-05T16:45:00
2022-06-05,A Schema Migration Tool for the Neo4j Database,11:10,11:30,Lightning Talks,2022-06-05T11:10:00,2022-06-05T11:30:00
2022-06-05,A Universe of Knowledge Graphs,10:30,11:15,Full Length Session,2022-06-05T10:30:00,2022-06-05T11:15:00
2022-06-06,Accelerating ML Ops with Graphs and Ontology-Driven Design,10:00,10:45,Full Length Session,2022-06-06T10:00:00,2022-06-06T10:45:00
2022-06-05,Achieve Blazing-Fast Ingest Speeds with Apache Arrow,16:00,16:45,Full Length Session,2022-06-05T16:00:00,2022-06-05T16:45:00
2022-06-05,Adeo DiY Knowledge Graph,15:15,16:00,Full Length Session,2022-06-05T15:15:00,2022-06-05T16:00:00
2022-06-05,Adversarial Risk Analysis Using Knowledge Graphs,15:15,16:00,Full Length Session,2022-06-05T15:15:00,2022-06-05T16:00:00
2022-06-05,Application of Graph Analytics for Identification of Risk Signature Profiles in Health Care Claims,11:15,12:00,Full Length Session,2022-06-05T11:15:00,2022-06-05T12:00:00
2022-06-05,Applying Network Analytics in KYC,13:40,14:00,Lightning Talks,2022-06-05T13:40:00,2022-06-05T14:00:00
2022-06-05,Are Economists Right or Wrong? Connecting Patent Data in Neo4j,14:20,14:40,Lightning Talks,2022-06-05T14:20:00,2022-06-05T14:40:00
2022-06-04,Basic Cypher Querying,08:00,12:00,Training,2022-06-04T08:00:00,2022-06-04T12:00:00
2022-06-04,Basic Neo4j Admin,08:00,17:00,Training,2022-06-04T08:00:00,2022-06-04T17:00:00
2022-06-05,Boost Your Neo4j with User-Defined Procedures,14:30,15:15,Full Length Session,2022-06-05T14:30:00,2022-06-05T15:15:00
2022-06-05,Bootstrapping Your Graph Project with Neo4j Data Importer and Browser,13:45,14:30,Full Length Session,2022-06-05T13:45:00,2022-06-05T14:30:00
2022-06-05,Build a Better Healthcare Chatbot with a Neo4j Knowledge Graph,14:40,15:00,Lightning Talks,2022-06-05T14:40:00,2022-06-05T15:00:00
2022-06-06,Build a Knowledge Graph Using NLP and Ontologies,13:00,14:30,Workshop,2022-06-06T13:00:00,2022-06-06T14:30:00
2022-06-05,Building a Graph-Based Full-Stack Solution for Repository-Scale Searching of Biosynthetic Gene Clusters,16:00,16:45,Full Length Session,2022-06-05T16:00:00,2022-06-05T16:45:00
2022-06-05,Building a Micro ORM for Neo4j in .NET,10:50,11:10,Lightning Talks,2022-06-05T10:50:00,2022-06-05T11:10:00
2022-06-04,Building An Application,13:00,17:00,Training,2022-06-04T13:00:00,2022-06-04T17:00:00
2022-06-05,Building an Authorization Solution for Microservices Using Neo4j and OPA,13:00,13:45,Full Length Session,2022-06-05T13:00:00,2022-06-05T13:45:00
2022-06-05,Building Digital Twins with GCP and Neo4j,13:45,14:30,Full Length Session,2022-06-05T13:45:00,2022-06-05T14:30:00
2022-06-06,Building the Rail Network Digital Twin at CSX,13:00,13:20,Lightning Talks,2022-06-06T13:00:00,2022-06-06T13:20:00
2022-06-05,Combining the Best Cloud Technologies with Innovative Engineering: How We Built Neo4j Aura,16:00,16:45,Full Length Session,2022-06-05T16:00:00,2022-06-05T16:45:00
2022-06-05,Communicating Complex Results to Customers Using Graph Data Science… When You Don't Have a Front-End Developer on Your Team,16:45,17:30,Full Length Session,2022-06-05T16:45:00,2022-06-05T17:30:00
2022-06-05,Connecting Neo4j Graph Data Science into Your Data Ecosystem and Workflows,13:00,13:45,Full Length Session,2022-06-05T13:00:00,2022-06-05T13:45:00
2022-06-05,Creating a Clinical Knowledge Graph: Pharmaceutical Collaboration With OpenStudyBuilder,14:40,15:00,Lightning Talks,2022-06-05T14:40:00,2022-06-05T15:00:00
2022-06-05,Cybersecurity Automation with OSCAL and Neo4J,14:30,15:15,Full Length Session,2022-06-05T14:30:00,2022-06-05T15:15:00
2022-06-04,Cypher Query Training,08:00,17:00,Training,2022-06-04T08:00:00,2022-06-04T17:00:00
2022-06-04,Data Management Import & Governance,13:00,17:00,Training,2022-06-04T13:00:00,2022-06-04T17:00:00
2022-06-04,Data Management with Cypher,08:00,12:00,Training,2022-06-04T08:00:00,2022-06-04T12:00:00
