ID,Company,Industry,Topic,Audience,Type,UseCase,Title,Abstract,Experience,FirstName,LastName,FullName,JobTitle,Biography
1,Ciena - Blue Planet,Telecom,CoreDB-UC,Developer,Full Length Session,Telecom Networks,Telecomms Service Assurance & Service Fulfilment with Neo4j Graph Database,"Attend this session to learn about how Neo4j can be used to model telecom networks, with a deeper focus on how to automate the network planning, design, and service assurance functions.",Intermediate,Alvaro,Oslé,Alvaro Oslé,Director of Architecture,"Álvaro is a seasoned telecoms and OSS expert with over 20 years of experience. Passionate about bringing innovative software products to market, Álvaro is specialized in Service Fulfillment, Network Inventory Management, and Service Assurance across all network technologies. During his career, he has worked with large software providers and system integrators in large and complex IT and Telco Transformation projects for large communication service providers around the world. Álvaro is now working for Ciena, focused on driving the architecture for the BluePlanet software portfolio."
2,Neo4j,Manufacturing,Digital Twin,Developer,Full Length Session,Digital Twin,Building Digital Twins with GCP and Neo4j,"This presentation will outline the GCP-approved, event-driven architecture and example graph design patterns designed for and used by manufacturing across numerous verticals. You'll learn about best practices defined by both GCP and Neo4j for designing, deploying, and managing enterprise manufacturing digital twin implementations. You'll also get details related to the design and deployment of GCP event-driven discrete manufacturing digital twin analysis platforms that include graph analytics for discrete manufacturing hosted by Neo4j. Also covered in the pressentation are details including the deployment and use of GCP architecture and the specific review of specific design patterns related to discrete manufacturing. By the end of this presentation, you'll have a basic understanding of how to apply the technology and expertise of GCP, including Neo4j, to drastically improve the analysis currently available to the manufacturing world.",Basic,Christopher,Upkes,Christopher Upkes,Principal Professional Services Consultant,
3,VinkOS,General,Fraud,Developer,Full Length Session,Fraud detection,"Uncharted Waters: Fraud, the Fortune 500, and Latin America","Neo4j is greatly settled with a good presence in some countries, but it can be an uphill journey in some other ones. In this session you'll learn about the graph journey to implement a solution in a market that doesn’t know much about graph databases.The immersion into graph technology and methodology doesn't always translate immediately to value for clients – there's exploration to be made, discoveries to be found, skills to be developed, and a learning curve for everyone involved. We'll go over challenges and struggles, how to overcome them, and how to achieve a successful journey with graphs. We are going to tackle similar problems with similar customers, except in this case, our environment will be completely unfamiliar. Over 40 minutes, we are going to walk along with VinkOS on their journey to solve some of the biggest fraud analytics problems with their Fortune 500 customer, as they work alongside Neo4j to identify essential requirements, design and test an initial solution, and work with the customer to evaluate the solution and determine a working relationship. Unlike other use-case specific demonstrations, in this presentation, you will get an intimate understanding of what it takes for Neo4j’s first Latin American partner to identify, design, and solve a fraud detection use case for a Fortune 500 customer. 
",Basic,Luis,Eduardo Almazán,Luis Eduardo Almazán,Data Science Consultant,"Luis Eduardo Almazán is a mathematician from UNAM, currently a Data Science Consultant at VinkOS. He has experience in the development of data integration processes, ML solutions, and implementation of Neo4j projects."
4,Neo4j,General,Knowledge Graph,Data Scientists,Workshop,Knowledge Graph,Build a Knowledge Graph Using NLP and Ontologies,"This workshop will take attendees over the process of building and querying a knowledge graph of entities extracted from a set of unstructured documents (news articles) and enriched with public ontologies. We will use the APOC NLP procedures and the neosemantics plugin to import and manipulate the public ontologies. Once built, we will show how the resulting knowledge graph can be used to implement semantic search and semantic content recommendations. A prerequisite of this workshop is to have a basic understanding of the property graph model. Attendees will ideally have Neo4j Desktop downloaded and installed locally so they can code along with the presenter.",,Jesús,Barrasa,Jesús Barrasa,,"Jesús Barrasa is a Neo4j field engineer based in London. He combines over 15 years of professional experience in consulting and professional services in the Information management space. Prior to joining Neo4j, Jesús worked at Ontology Systems for seven years where he got first hand experience with large graph database deployments in many successful graph-based projects for major telecommunications companies all over the world. Jesús holds a PhD in Computing Science from the Politécnica University of Madrid, where he carried out his research on graph data modeling and semantic technologies."
5,Neo4j,General,Development,Developer,Full Length Session,"Apps & APIs, Cypher, Language-specific",Boost Your Neo4j with User-Defined Procedures,"Cypher is a great, powerful query language, enabling you to quickly get the most from your graph queries. For some, squeezing out every bit of performance is necessary, and you wish you had the capability to do so packed into a reusable LEGO block for your queries. In this session, you'll learn from practical examples of how to build user-defined procedures, functions, and aggregation functions with just a few lines of Java code. We'll dive into how to efficiently use the Java API and what to watch out for to ensure you get the most out of your work. This will help you to build your own extensions to Neo4j or understand better how the existing procedures and functions work under the hood.",Advanced,Michael,Hunger,Michael Hunger,"Senior Director, User Innovation","Michael Hunger has been passionate about software development for more than 35 years. For the last 12 years, he has been working on the open source Neo4j graph database filling many roles, most recently leading the Developer Relations team at Neo4j. As caretaker general of the Neo4j community and ecosystem, he especially loves to work with graph-related projects, users, and contributors. As a developer Michael enjoys many aspects of programming languages, learning new things every day, participating in exciting and ambitious open source projects, and contributing and writing software-related books and articles. Michael has spoken at numerous conferences and helped organized several of them. His efforts got him accepted to the JavaChampions program. Michael helps kids to learn to program by running weekly girls-only coding classes at local schools."
6,German Center for Diabetes Research and HealthECCO,Healthcare,Knowledge Graph,General,Full Length Session,"Best Practices, Cypher, Data Science, Graph Visualization, GraphQL, Knowledge Graphs",Queries to Insights: How Healthcare Research Can Create Connections with Knowledge Graphs,"HealthECCO is building a unique solution to combine, annotate, and organize the world's health knowledge and get it into the hands of the right people at the right time. HealthECCO, winner of the the Neo4j Graphie Award in 2021, is a non-profit organization committed to open source software and open access to knowledge in order to improve the quality of guideline usage and to foster innovative global research. The beating heart of their platform is a Neo4j knowledge graph that integrates a growing number of different but related data sets. Their data loading pipelines process each of the data sets, indexing nodes and creating connections to other data sets, as well as annotating text in the data using natural language processing (NLP). The connections in the graph make data findable. These pipelines are portable and repeatable making their data reusable. By incorporating ontologies, they make data interoperable so that data can be reused and repurposed. Our objective is public access for all data sources. Following the FAIR principles (Findable, Accessible, Interoperable, Reuseable), their knowledge graph will not only reveal hidden connections but will be publicly available and globally accessible. In this session, you learn about their diabetes and COVID-19 use cases including Neo4j Graph Data Science applications and several interactive graph applications.",Basic to Intermediate,Alexander,Jarasch,Alexander Jarasch,Head of Data and Knowledge Management,"Dr. Alexander Jarasch is Head of Data and Knowledge Management at the German Center for Diabetes Research (DZD). With a background in bioinformatics, his career extends across several industries, including chemistry, biotech, pharma, and IT. Alexander has received numerous awards for his research activities and for his knowledge graph project, DZDconnect, to fight widespread diseases like diabetes. He has expertise in machine learning and data engineering that combines with his deep domain knowledge in pharma. Alexander is also co-founder of the non-profit organization HealthECCO which is committed to open source software and open access to knowledge in order to improve the quality of guideline usage and to foster innovative global research."
7,Microsoft,General,CoreDB-UC,Developer,Full Length Session,"Apps & APIs, Cloud, Language-specific","Delegate, Automate, Dominate: Putting Graph Tech to Work for You to Unlock Hidden Insights and Opportunities","Different database technologies optimize for different uses. Graph databases excel in discovering relationships, known or unknown, within vast sets of data and can help unlock value from overlooked or underutilized sources. Join the presenters in this session to discover what consideration make a dataset a candidate for graph storage and analysis. You'll also learn tips and tricks for data ingestion and structuring while gaining insights on how to build APIs that optimize for meaningful analysis of data relationships. Likewise, you'll learn how to delegate tasks to tools, automate essential but non-critical path functions, and dominate your domain with actionable insights that unlock your data's full value.",Basic to Intermediate,Mark,Heckler,Mark Heckler,"Principal Cloud Advocate, Java/JVM Languages","Mark Heckler is a Software Developer & Principal Cloud Developer Advocate for Java/JVM Languages at Microsoft. Mark is also a conference speaker, Java Champion, and Kotlin Developer Expert focused on developing innovative production-ready software at velocity for cloud and edge computing platforms. He has worked with key players in numerous industries and public sector organizations to develop and deliver critical capabilities on time and on budget. Mark is an open source contributor and author of Spring Boot: Up and Running (https://bit.ly/springbootbook) and can be found on Twitter @mkheck."
8,Neo4j,General,Knowledge Graph,General,Full Length Session,Use Case,A Universe of Knowledge Graphs,"Knowledge graphs are driving industry disruption and business transformation by bringing together previously disparate data, using connections for superior decision support, and adding context to AI applications. In this session, we'll walk you through the fundamental elements of knowledge graphs based on our recent customer experiences and successes. The majority of Neo4j knowledge graph use cases fall on a spectrum of the three major categories of data management, data discovery, and data analytics. Neo4j characterizes these as Data Assurance Knowledge Graphs for data management, Insight Knowledge Graphs for data discovery, and Decisioning Knowledge Graphs for data analytics. Each of these use cases will be discussed in detail using customer success stories – Data Assurance Knowledge Graphs at UBS for increased trust and explainability, Insight Knowledge Graphs at AirBnB for complete visibility and improved productivity, and Decisioning Knowledge Graphs at Boston Scientific for better predictions and more breakthroughs – to showcase knowledge graphs for contextual AI. Attend this session to learn how leading companies are using knowledge graphs and walk away with practical insights on how to build knowledge graphs. ",Basic,Maya,Natarajan,Maya Natarajan,"Senior Director, Product Marketing","Dr. Maya Natarajan is responsible for the go-to-market strategy for knowledge graphs at Neo4j. She is passionate about bringing different technologies together to solve complex problems and is championing the use of knowledge graphs to bring context to various systems. Maya has positioned technologies from blockchain to predictive and user-based analytics to machine learning, deep learning, search, BPM and beyond in a myriad of industries including life sciences, financial services, supply chain, manufacturing, and more at various small and large companies. Specifically, Maya has firsthand experience with RDF, working with companies like SemanticAI (previously Semantic Research, Inc.) and Smartlogic. Maya has a PhD in Chemical Engineering from Rice University, Houston. She started her career in the biotechnology area where she was in R&D focusing on cardiovascular drugs, and she has five patents to her name."
9,Neo4j,General,Digital Twin,Data Scientists,Full Length Session,"Data Science, Knowledge Graphs",Graph-Based Process Mining and Its Applications to Digital Twins,"Process mining is an important component for any large industrial enterprise. Recently, groundbreaking research has been performed on how graph databases are superior in analysing event logs, which has resulted in the new research area of graph-based process mining. This presentation will illustrate what graph-based process mining is, how graph data science is applied, and extend the technology to Digital Twins.",Basic,Kristof,Neys,Kristof Neys,Graph Data Science Specialist,"Kristof is a Graph Data Science Specialist on the Field Engineering team at Neo4j where he advises on and implements graph data science solutions for Neo4j customers. He is also currently pursuing a PhD in Graph Machine Learning at the University of London, Birkbeck. Kristof holds a MSc in Mathematics and a MSc in Data Science from the University of London. Prior to joining Neo4j, Kristof had a 20-year career in Fixed Income Sales & Trading at some of the major investment banks in London."
10,Neo4j,General,GDS-Prod,Data Scientists,Full Length Session,Data Science,Get Started with the Most Advanced Edition Yet of Neo4j Graph Data Science,"In this session, we'll cover the features of graph data science – what it is, how it solves your most daunting business problems, and how Neo4j helps. You'll learn how Neo4j's leading and robust Graph Data Science platform offering solves the pain of scaling and productionizing your workflows, while also making it super simple to get started. Additionally, to give you a more complete picture of the possibilities of graph data science, we'll walk through a few customer success stories that highlight how it has made a difference.",Basic,Alicia,Frame,Alicia Frame,"Director of Product Management, Data Science","Alicia Frame, PhD has spent the last three years translating input from customers, early adopters, and the community into the first truly enterprise product for doing data science with graphs: Neo4j Graph Data Science. She has a PhD in Computational Biology from UNC Chapel Hill, and her background is in data science applications in healthcare and life sciences. She’s worked in academia, government, and the private sector to apply graph techniques for drug discovery, molecular optimization, and risk assessments. Alicia is super excited to be making it possible for anyone to use advanced graph techniques with Neo4j."
