awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,1/3,10000000,12295082,2001-10-10,received,for their analyses of markets with asymmetric information,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2001,745,A. Michael Spence,A. Michael Spence,A. Michael,Spence,A. Michael Spence,,male,http://masterdataapi.nobelprize.org/2/laureate/745,1943-00-00,"Montclair, NJ","Montclair, NJ",North America,USA,USA,"Montclair, NJ, USA",,,,,,,,,,,,,,,,,,Individual,,,"Stanford University, Stanford, CA, USA",,,
1975,Physics,The Nobel Prize in Physics,1,1/3,630000,3404179,1975-10-17,received,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1975,102,Aage N. Bohr,Aage N. Bohr,Aage N.,Bohr,Aage Niels Bohr,,male,http://masterdataapi.nobelprize.org/2/laureate/102,1922-06-19,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",2009-09-08,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,,,,,,,,,,Individual,,,"Niels Bohr Institute, Copenhagen, Denmark",,,
2004,Chemistry,The Nobel Prize in Chemistry,1,1/3,10000000,11762861,2004-10-06,received,for the discovery of ubiquitin-mediated protein degradation,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2004,779,Aaron Ciechanover,Aaron Ciechanover,Aaron,Ciechanover,Aaron Ciechanover,,male,http://masterdataapi.nobelprize.org/2/laureate/779,1947-10-01,Haifa,Haifa,Asia,British Protectorate of Palestine,Israel,"Haifa, British Protectorate of Palestine (now Israel)",,,,,,,,,,,,,,,,,,Individual,,,"Technion - Israel Institute of Technology, Haifa, Israel",,,
1982,Chemistry,The Nobel Prize in Chemistry,1,1,1150000,3102518,1982-10-18,received,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1982,259,Aaron Klug,Aaron Klug,Aaron,Klug,Aaron Klug,,male,http://masterdataapi.nobelprize.org/2/laureate/259,1926-08-11,Zelvas,Zelvas,Europe,Lithuania,Lithuania,"Zelvas, Lithuania",2018-11-20,,,,,,N/A,,,,,,,,,,,Individual,,,"MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",,,
1979,Physics,The Nobel Prize in Physics,2,1/3,800000,2988048,1979-10-15,received,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979,114,Abdus Salam,Abdus Salam,Abdus,Salam,Abdus Salam,,male,http://masterdataapi.nobelprize.org/2/laureate/114,1926-01-29,Jhang Maghiāna,Jhang Maghiāna,Asia,India,Pakistan,"Jhang Maghiāna, India (now Pakistan)",1996-11-21,Oxford,Oxford,Europe,United Kingdom,United Kingdom,"Oxford, United Kingdom",,,,,,,,,,,Individual,,,"International Centre for Theoretical Physics, Trieste, Italy","Imperial College, London, United Kingdom",,
2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,1/3,9000000,9000000,2019-10-14,received,for their experimental approach to alleviating global poverty,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019,982,Abhijit Banerjee,Abhijit Banerjee,Abhijit,Banerjee,Abhijit Banerjee,,male,http://masterdataapi.nobelprize.org/2/laureate/982,1961-02-21,Mumbai,Mumbai,Asia,India,India,"Mumbai, India",,,,,,,,,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
2019,Peace,The Nobel Peace Prize,1,1,9000000,9000000,2019-10-11,received,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019,981,Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Ahmed Ali,Abiy Ahmed Ali,,male,http://masterdataapi.nobelprize.org/2/laureate/981,1976-08-15,Beshasha,Beshasha,Africa,Ethiopia,Ethiopia,"Beshasha, Ethiopia",,,,,,,,,,,,,,,,,,Individual,,,,,,
2009,Chemistry,The Nobel Prize in Chemistry,3,1/3,10000000,10958504,2009-10-07,received,for studies of the structure and function of the ribosome,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2009,843,Ada E. Yonath,Ada E. Yonath,Ada E.,Yonath,Ada E. Yonath,,female,http://masterdataapi.nobelprize.org/2/laureate/843,1939-06-22,Jerusalem,Jerusalem,Asia,British Mandate of Palestine,Israel,"Jerusalem, British Mandate of Palestine (now Israel)",,,,,,,,,,,,,,,,,,Individual,,,"Weizmann Institute of Science, Rehovot, Israel",,,
2011,Physics,The Nobel Prize in Physics,3,1/4,10000000,10545557,2011-10-04,received,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011,866,Adam G. Riess,Adam G. Riess,Adam G.,Riess,Adam G. Riess,,male,http://masterdataapi.nobelprize.org/2/laureate/866,1969-12-16,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,,,,,,,,Individual,,,"Johns Hopkins University, Baltimore, MD, USA","Space Telescope Science Institute, Baltimore, MD, USA",,
1939,Chemistry,The Nobel Prize in Chemistry,1,1/2,148822,4227898,,received,for his work on sex hormones,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,199,Adolf Butenandt,Adolf Butenandt,Adolf,Butenandt,Adolf Friedrich Johann Butenandt,,male,http://masterdataapi.nobelprize.org/2/laureate/199,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Europe,Germany,Germany,"Bremerhaven-Lehe, Germany",1995-01-18,Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,,,,,,,,,,Individual,,,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie, Berlin-Dahlem, Germany","Berlin University, Berlin, Germany",,
