year,category,overallMotivation,id,firstname,surname,motivation,share
2022,chemistry,,1015,Carolyn,Bertozzi,"""for the development of click chemistry and bioorthogonal chemistry""",3
2022,chemistry,,1016,Morten,Meldal,"""for the development of click chemistry and bioorthogonal chemistry""",3
2022,chemistry,,743,Barry,Sharpless,"""for the development of click chemistry and bioorthogonal chemistry""",3
2022,economics,,1021,Ben,Bernanke,"""for research on banks and financial crises""",3
2022,economics,,1022,Douglas,Diamond,"""for research on banks and financial crises""",3
2022,economics,,1023,Philip,Dybvig,"""for research on banks and financial crises""",3
2022,literature,,1017,Annie,Ernaux,"""for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory""",1
2022,peace,,1018,Ales,Bialiatski,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3
2022,peace,,1019,Memorial,,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3
2022,peace,,1020,"Center for Civil Liberties",,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3
2022,physics,,1012,Alain,Aspect,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3
2022,physics,,1013,,,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3
2022,physics,,1014,Anton,Zeilinger,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3
2022,medicine,,1011,Svante,Pääbo,"""for his discoveries concerning the genomes of extinct hominins and human evolution""",1
2021,chemistry,,1002,Benjamin,List,"""for the development of asymmetric organocatalysis""",2
2021,chemistry,,1003,David,MacMillan,"""for the development of asymmetric organocatalysis""",2
2021,economics,,1007,David,Card,"""for his empirical contributions to labour economics""",2
2021,economics,,1008,Joshua,Angrist,"""for their methodological contributions to the analysis of causal relationships""",4
2021,economics,,1009,Guido,Imbens,"""for their methodological contributions to the analysis of causal relationships""",4
2021,literature,,1004,Abdulrazak,Gurnah,"""for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents""",1
2021,peace,,1005,Maria,Ressa,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",2
2021,peace,,1006,Dmitry,Muratov,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",2
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",999,Syukuro,Manabe,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",4
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",1000,Klaus,Hasselmann,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",4
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",1001,Giorgio,Parisi,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales""",2
2021,medicine,,997,David,Julius,"""for their discoveries of receptors for temperature and touch""",2
2021,medicine,,998,Ardem,Patapoutian,"""for their discoveries of receptors for temperature and touch""",2
2020,chemistry,,991,Emmanuelle,Charpentier,"""for the development of a method for genome editing""",2
2020,chemistry,,992,"Jennifer A.",Doudna,"""for the development of a method for genome editing""",2
2020,economics,,995,Paul,Milgrom,"""for improvements to auction theory and inventions of new auction formats""",2
2020,economics,,996,Robert,Wilson,"""for improvements to auction theory and inventions of new auction formats""",2
2020,literature,,993,Louise,Glück,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",1
2020,peace,,994,"World Food Programme",,"""for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict""",1
2020,physics,,988,Roger,Penrose,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",2
2020,physics,,989,Reinhard,Genzel,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4
2020,physics,,990,Andrea,Ghez,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4
2020,medicine,,985,Harvey,Alter,"""for the discovery of Hepatitis C virus""",3
2020,medicine,,986,Michael,Houghton,"""for the discovery of Hepatitis C virus""",3
2020,medicine,,987,Charles,Rice,"""for the discovery of Hepatitis C virus""",3
2019,chemistry,,976,John,Goodenough,"""for the development of lithium-ion batteries""",3
2019,chemistry,,977,"M. Stanley",Whittingham,"""for the development of lithium-ion batteries""",3
2019,chemistry,,978,Akira,Yoshino,"""for the development of lithium-ion batteries""",3
2019,economics,,982,Abhijit,Banerjee,"""for their experimental approach to alleviating global poverty""",3
2019,economics,,983,Esther,Duflo,"""for their experimental approach to alleviating global poverty""",3
2019,economics,,984,Michael,Kremer,"""for their experimental approach to alleviating global poverty""",3
2019,literature,,980,Peter,Handke,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",1
2019,peace,,981,Abiy,"Ahmed Ali","""for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",1
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",973,James,Peebles,"""for theoretical discoveries in physical cosmology""",2
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",974,Michel,Mayor,"""for the discovery of an exoplanet orbiting a solar-type star""",4
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",975,Didier,Queloz,"""for the discovery of an exoplanet orbiting a solar-type star""",4
2019,medicine,,970,William,Kaelin,"""for their discoveries of how cells sense and adapt to oxygen availability""",3
2019,medicine,,971,Peter,Ratcliffe,"""for their discoveries of how cells sense and adapt to oxygen availability""",3
2019,medicine,,972,Gregg,Semenza,"""for their discoveries of how cells sense and adapt to oxygen availability""",3
2018,chemistry,,963,"Frances H.",Arnold,"""for the directed evolution of enzymes""",2
2018,chemistry,,964,"George P.",Smith,"""for the phage display of peptides and antibodies""",4
2018,chemistry,,965,"Sir Gregory P.",Winter,"""for the phage display of peptides and antibodies""",4
2018,economics,,968,"William D.",Nordhaus,"""for integrating climate change into long-run macroeconomic analysis""",2
2018,economics,,969,"Paul M.",Romer,"""for integrating technological innovations into long-run macroeconomic analysis""",2
2018,literature,,979,Olga,Tokarczuk,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",1
2018,peace,,966,Denis,Mukwege,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2
2018,peace,,967,Nadia,Murad,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2
2018,physics,"""for groundbreaking inventions in the field of laser physics""",960,Arthur,Ashkin,"""for the optical tweezers and their application to biological systems""",2
2018,physics,"""for groundbreaking inventions in the field of laser physics""",961,Gérard,Mourou,"""for their method of generating high-intensity ultra-short optical pulses""",4
2018,physics,"""for groundbreaking inventions in the field of laser physics""",962,Donna,Strickland,"""for their method of generating high-intensity ultra-short optical pulses""",4
2018,medicine,,958,"James P.",Allison,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2
2018,medicine,,959,Tasuku,Honjo,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2
2017,chemistry,,944,Jacques,Dubochet,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3
2017,chemistry,,945,Joachim,Frank,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3
2017,chemistry,,946,Richard,Henderson,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3
2017,economics,,949,"Richard H.",Thaler,"""for his contributions to behavioural economics""",1
2017,literature,,947,Kazuo,Ishiguro,"""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world""",1
2017,peace,,948,"International Campaign to Abolish Nuclear Weapons",,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",1
2017,physics,,941,Rainer,Weiss,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2
2017,physics,,942,"Barry C.",Barish,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4
2017,physics,,943,"Kip S.",Thorne,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4
2017,medicine,,938,"Jeffrey C.",Hall,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3
2017,medicine,,939,Michael,Rosbash,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3
2017,medicine,,940,"Michael W.",Young,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3
2016,chemistry,,931,Jean-Pierre,Sauvage,"""for the design and synthesis of molecular machines""",3
2016,chemistry,,932,"Sir J. Fraser",Stoddart,"""for the design and synthesis of molecular machines""",3
2016,chemistry,,933,"Bernard L.",Feringa,"""for the design and synthesis of molecular machines""",3
2016,economics,,935,Oliver,Hart,"""for their contributions to contract theory""",2
2016,economics,,936,Bengt,Holmström,"""for their contributions to contract theory""",2
2016,literature,,937,Bob,Dylan,"""for having created new poetic expressions within the great American song tradition""",1
2016,peace,,934,"Juan Manuel",Santos,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",1
2016,physics,,928,"David J.",Thouless,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2
2016,physics,,929,"F. Duncan M.",Haldane,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4
2016,physics,,930,"J. Michael",Kosterlitz,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4
2016,medicine,,927,Yoshinori,Ohsumi,"""for his discoveries of mechanisms for autophagy""",1
2015,chemistry,,921,Tomas,Lindahl,"""for mechanistic studies of DNA repair""",3
2015,chemistry,,922,Paul,Modrich,"""for mechanistic studies of DNA repair""",3
2015,chemistry,,923,Aziz,Sancar,"""for mechanistic studies of DNA repair""",3
2015,economics,,926,Angus,Deaton,"""for his analysis of consumption poverty and welfare""",1
2015,literature,,924,Svetlana,Alexievich,"""for her polyphonic writings a monument to suffering and courage in our time""",1
2015,peace,,925,"National Dialogue Quartet",,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",1
2015,physics,,919,Takaaki,Kajita,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",2
2015,physics,,920,"Arthur B.",McDonald,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",2
2015,medicine,,916,"William C.",Campbell,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4
2015,medicine,,917,Satoshi,Ōmura,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4
2015,medicine,,918,Youyou,Tu,"""for her discoveries concerning a novel therapy against Malaria""",2
2014,chemistry,,909,Eric,Betzig,"""for the development of super-resolved fluorescence microscopy""",3
2014,chemistry,,910,"Stefan W.",Hell,"""for the development of super-resolved fluorescence microscopy""",3
2014,chemistry,,911,"William E.",Moerner,"""for the development of super-resolved fluorescence microscopy""",3
2014,economics,,915,Jean,Tirole,"""for his analysis of market power and regulation""",1
2014,literature,,912,Patrick,Modiano,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",1
2014,peace,,913,Kailash,Satyarthi,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2
2014,peace,,914,Malala,Yousafzai,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2
2014,physics,,906,Isamu,Akasaki,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3
2014,physics,,907,Hiroshi,Amano,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3
2014,physics,,908,Shuji,Nakamura,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3
2014,medicine,,903,John,O'Keefe,"""for their discoveries of cells that constitute a positioning system in the brain""",2
2014,medicine,,904,May-Britt,Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",4
2014,medicine,,905,"Edvard I.",Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",4
2013,chemistry,,889,Martin,Karplus,"""for the development of multiscale models for complex chemical systems""",3
2013,chemistry,,890,Michael,Levitt,"""for the development of multiscale models for complex chemical systems""",3
2013,chemistry,,891,Arieh,Warshel,"""for the development of multiscale models for complex chemical systems""",3
2013,economics,,894,"Eugene F.",Fama,"""for their empirical analysis of asset prices""",3
2013,economics,,895,"Lars Peter",Hansen,"""for their empirical analysis of asset prices""",3
2013,economics,,896,"Robert J.",Shiller,"""for their empirical analysis of asset prices""",3
2013,literature,,892,Alice,Munro,"""master of the contemporary short story""",1
2013,peace,,893,"Organisation for the Prohibition of Chemical Weapons",,"""for its extensive efforts to eliminate chemical weapons""",1
2013,physics,,887,François,Englert,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2
2013,physics,,888,Peter,Higgs,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2
2013,medicine,,884,"James E.",Rothman,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3
2013,medicine,,885,"Randy W.",Schekman,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3
2013,medicine,,886,"Thomas C.",Südhof,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3
2012,chemistry,,878,"Robert J.",Lefkowitz,"""for studies of G-protein-coupled receptors""",2
2012,chemistry,,879,Brian,Kobilka,"""for studies of G-protein-coupled receptors""",2
2012,economics,,882,"Alvin E.",Roth,"""for the theory of stable allocations and the practice of market design""",2
2012,economics,,883,"Lloyd S.",Shapley,"""for the theory of stable allocations and the practice of market design""",2
2012,literature,,880,Mo,Yan,"""who with hallucinatory realism merges folk tales history and the contemporary""",1
2012,peace,,881,"European Union",,"""for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe""",1
2012,physics,,876,Serge,Haroche,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2
2012,physics,,877,"David J.",Wineland,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2
2012,medicine,,874,"Sir John B.",Gurdon,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2
2012,medicine,,875,Shinya,Yamanaka,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2
2011,chemistry,,867,Dan,Shechtman,"""for the discovery of quasicrystals""",1
2011,economics,,872,"Thomas J.",Sargent,"""for their empirical research on cause and effect in the macroeconomy""",2
2011,economics,,873,"Christopher A.",Sims,"""for their empirical research on cause and effect in the macroeconomy""",2
2011,literature,,868,Tomas,Tranströmer,"""because through his condensed translucent images he gives us fresh access to reality""",1
2011,peace,,869,Ellen,"Johnson Sirleaf","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3
2011,peace,,870,Leymah,Gbowee,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3
2011,peace,,871,Tawakkol,Karman,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3
2011,physics,,864,Saul,Perlmutter,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2
2011,physics,,865,"Brian P.",Schmidt,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4
2011,physics,,866,"Adam G.",Riess,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4
2011,medicine,,861,"Bruce A.",Beutler,"""for their discoveries concerning the activation of innate immunity""",4
2011,medicine,,862,"Jules A.",Hoffmann,"""for their discoveries concerning the activation of innate immunity""",4
2011,medicine,,863,"Ralph M.",Steinman,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2
2010,chemistry,,851,"Richard F.",Heck,"""for palladium-catalyzed cross couplings in organic synthesis""",3
2010,chemistry,,852,Ei-ichi,Negishi,"""for palladium-catalyzed cross couplings in organic synthesis""",3
2010,chemistry,,853,Akira,Suzuki,"""for palladium-catalyzed cross couplings in organic synthesis""",3
2010,economics,,856,"Peter A.",Diamond,"""for their analysis of markets with search frictions""",3
2010,economics,,857,"Dale T.",Mortensen,"""for their analysis of markets with search frictions""",3
2010,economics,,858,"Christopher A.",Pissarides,"""for their analysis of markets with search frictions""",3
2010,literature,,854,Mario,"Vargas Llosa","""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",1
2010,peace,,855,Xiaobo,Liu,"""for his long and non-violent struggle for fundamental human rights in China""",1
2010,physics,,849,Andre,Geim,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2
2010,physics,,850,Konstantin,Novoselov,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2
2010,medicine,,848,"Robert G.",Edwards,"""for the development of in vitro fertilization""",1
2009,chemistry,,841,Venkatraman,Ramakrishnan,"""for studies of the structure and function of the ribosome""",3
2009,chemistry,,842,"Thomas A.",Steitz,"""for studies of the structure and function of the ribosome""",3
2009,chemistry,,843,"Ada E.",Yonath,"""for studies of the structure and function of the ribosome""",3
2009,economics,,846,Elinor,Ostrom,"""for her analysis of economic governance especially the commons""",2
2009,economics,,847,"Oliver E.",Williamson,"""for his analysis of economic governance especially the boundaries of the firm""",2
2009,literature,,844,Herta,Müller,"""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",1
2009,peace,,845,Barack,Obama,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",1
2009,physics,,838,"Charles K.",Kao,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2
2009,physics,,839,"Willard S.",Boyle,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4
2009,physics,,840,"George E.",Smith,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4
2009,medicine,,835,"Elizabeth H.",Blackburn,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3
2009,medicine,,836,"Carol W.",Greider,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3
2009,medicine,,837,"Jack W.",Szostak,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3
2008,chemistry,,829,Osamu,Shimomura,"""for the discovery and development of the green fluorescent protein GFP""",3
2008,chemistry,,830,Martin,Chalfie,"""for the discovery and development of the green fluorescent protein GFP""",3
2008,chemistry,,831,"Roger Y.",Tsien,"""for the discovery and development of the green fluorescent protein GFP""",3
2008,economics,,834,Paul,Krugman,"""for his analysis of trade patterns and location of economic activity""",1
2008,literature,,832,"Jean-Marie Gustave","Le Clézio","""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",1
2008,peace,,833,Martti,Ahtisaari,"""for his important efforts on several continents and over more than three decades to resolve international conflicts""",1
2008,physics,,826,Yoichiro,Nambu,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2
2008,physics,,827,Makoto,Kobayashi,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4
2008,physics,,828,Toshihide,Maskawa,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4
2008,medicine,,823,Harald,"zur Hausen","""for his discovery of human papilloma viruses causing cervical cancer""",2
2008,medicine,,824,Françoise,Barré-Sinoussi,"""for their discovery of human immunodeficiency virus""",4
2008,medicine,,825,Luc,Montagnier,"""for their discovery of human immunodeficiency virus""",4
2007,chemistry,,816,Gerhard,Ertl,"""for his studies of chemical processes on solid surfaces""",1
2007,economics,,820,Leonid,Hurwicz,"""for having laid the foundations of mechanism design theory""",3
2007,economics,,821,"Eric S.",Maskin,"""for having laid the foundations of mechanism design theory""",3
2007,economics,,822,"Roger B.",Myerson,"""for having laid the foundations of mechanism design theory""",3
2007,literature,,817,Doris,Lessing,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",1
2007,peace,,818,"Intergovernmental Panel on Climate Change",,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",2
2007,peace,,819,Al,Gore,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",2
