first,last,birth,death,gender,id,mother,father
Paul,Stobbe,-1,-1,M,@I2184@,,
William Jefferson,Clinton,1946,-1,M,@I1@,@I4@,@I3@
Hillary,Rodham,1947,-1,F,@I2@,@I12@,@I11@
William Jefferson,Blythe,1918,1946,M,@I3@,@I10@,@I9@
Virginia Dell,Cassidy,1923,1994,F,@I4@,@I14@,@I13@
Roger,Clinton,1909,1967,M,@I5@,,
Donald,Clark,-1,-1,M,@I6@,,
Jeff,Dwire,-1,1974,M,@I7@,,
Dick,Kelley,-1,-1,M,@I8@,,
William Jefferson,Blythe,1884,1935,M,@I9@,@I16@,@I15@
Lou Birchie,Ayers,1893,1946,F,@I10@,@I18@,@I17@
Hugh Ellsworth,Rodham,-1,-1,M,@I11@,,
Dorothy,Howell,-1,-1,F,@I12@,,
James Eldridge,Cassidy,1898,1957,M,@I13@,@I21@,@I20@
Edith Valeria,Grisham,1901,1968,F,@I14@,@I23@,@I22@
Henry Patton Foote,Blythe,1851,1898,M,@I15@,@I25@,@I24@
Frances Ellen,Hines,1857,1936,F,@I16@,@I28@,@I27@
Simpson Green,Ayers,1820,1897,M,@I17@,@I30@,@I29@
Hattie,Hayes,1852,1935,F,@I18@,@I32@,@I31@
Robert Edward,Ayers,1872,1928,M,@I19@,@I18@,@I17@
James M,Cassidy,1855,1908,M,@I20@,@I34@,@I33@
Sarah Louisa,Russell,1858,1945,F,@I21@,@I36@,@I35@
Lemma Newell,Grisham,1879,1954,M,@I22@,@I38@,@I37@
Edna Earl,Adams,1878,1952,F,@I23@,@I40@,@I39@
Thomas Jefferson,Blythe,1829,1907,M,@I24@,@I42@,@I41@
Esther Elvira,Baum,1825,1865,F,@I25@,@I44@,@I43@
Elizabeth Melvinia,Hines,1831,1906,F,@I26@,,
John F.,Hines,1833,1902,M,@I27@,@I46@,@I45@
Eliza Emily,Lockhart,1832,1904,F,@I28@,@I48@,@I47@
Asa,Ayers,1790,1826,M,@I29@,,
Olivia Olive,Vessells,1791,1826,F,@I30@,,
John,Hayes,1830,-1,M,@I31@,,
Ann,O'Meara,1825,-1,F,@I32@,,
George Washington,Cassidy,1829,1886,M,@I33@,@I51@,@I50@
Nancy Ann Josephine,Snelgrove,1837,1920,F,@I34@,@I53@,@I52@
William James,Russell,1825,1897,M,@I35@,@I55@,@I54@
Mary E.,Spradley,1828,1900,F,@I36@,@I57@,@I56@
James B,Gresham,1843,1915,M,@I37@,@I59@,@I58@
Hattie Rebecca,Mitchell,1858,1912,F,@I38@,@I61@,@I60@
Martin Franklin,Adams,1851,1884,M,@I39@,@I63@,@I62@
Sarah Jane,May,1848,1909,F,@I40@,@I65@,@I64@
Andrew Jackson,Blythe,1801,1851,M,@I41@,,
Jane,Patton,1808,1886,F,@I42@,,
Moses,Baum,1804,1853,M,@I43@,,
Mary Elizabeth,Farr,1802,1862,F,@I44@,@I2205@,@I2206@
Elias D J,Hines,-1,1846,M,@I45@,,
Mary Polly,Wilkinson,1808,-1,F,@I46@,,
John W,Lockhart,1796,1842,M,@I47@,,
Martha,Henry,1797,1879,F,@I48@,,
Levi,Cassidy,1790,-1,M,@I50@,,
Rachel,_____,1807,1850,F,@I51@,,
Jesse,Snelgrove,1792,1876,M,@I52@,,
Elizabeth,Howard,1790,1884,F,@I53@,,
Simon,Russell,1794,1864,M,@I54@,,
Nancy,Love,-1,1840,F,@I55@,,
Warren C,Spradley,1803,1884,M,@I56@,,
Elseyalcey,Malone,1800,1884,F,@I57@,,
Moses,Grisham\grissom,1792,1880,M,@I58@,,
Betsey,Slate,1798,1880,F,@I59@,,
____,Mitchell,-1,-1,M,@I60@,,
Martha,_____,1830,-1,F,@I61@,,
Martin,Adams,1810,1886,M,@I62@,,
Clarinda,Wilson,1821,1884,F,@I63@,,
Benjamin,May,1812,-1,M,@I64@,,
Clara,McBride,1822,-1,F,@I65@,,
Chelsea,Clinton,1980,-1,F,@I66@,@I2@,@I1@
Michael,Reagan,1829,-1,M,@I67@,,@I121@
Catherine,Mulcahy,-1,-1,F,@I68@,,
John,Reagan,1855,-1,M,@I69@,@I68@,@I67@
Jennie,Cusick,1857,-1,F,@I70@,@I73@,@I72@
John Edward,Reagan,1883,1941,M,@I71@,@I70@,@I69@
Patrick,Cusick,1835,1870,M,@I72@,,
Sarah,_____,1830,1870,F,@I73@,,
Andrew,Wilson,-1,-1,M,@I74@,,
Amelia,Glasgow,-1,-1,F,@I75@,,
John,Wilson,1812,1879,M,@I76@,@I75@,@I74@
Jane,Blue,1824,-1,F,@I77@,@I81@,@I80@
Donald,Blue,-1,-1,M,@I78@,,
Sarah,McCallum,-1,-1,F,@I79@,,
Donald,Blue,1799,-1,M,@I80@,@I79@,@I78@
Catherine,McFarlain,1801,-1,F,@I81@,@I85@,@I84@
William,McFarlane,-1,-1,M,@I82@,,
Elizabeth,Allison,-1,-1,F,@I83@,,
John,McFarlane,-1,-1,M,@I84@,@I83@,@I82@
Cunningham,Forsyth,-1,-1,F,@I85@,,
Thomas,Wilson,1844,1909,M,@I86@,@I77@,@I76@
Mary Ann,Elsey,1843,1900,F,@I87@,@I93@,@I91@
Nelle Clyde,Wilson,1883,1962,F,@I88@,@I87@,@I86@
Ronald Wilson,Reagan,1911,2004,M,@I89@,@I88@,@I71@
Henry,Elsey,1776,1844,M,@I90@,,
Robert,Elsey,1812,-1,M,@I91@,,@I90@
John,Baker,-1,-1,M,@I92@,,
Mary,Baker,1820,-1,F,@I93@,,@I92@
Samuel,Luckett,-1,-1,M,@I94@,,
Thomas,Hussey,-1,-1,M,@I95@,,
Elizabeth,Hussey,-1,-1,F,@I96@,,@I95@
Samuel,Luckett,1685,-1,M,@I97@,@I96@,@I94@
Ann,Smoot,-1,-1,F,@I98@,,
John,Middleton,-1,-1,M,@I99@,,
Mary,Wheeler,-1,-1,F,@I100@,,
William,Luckett,1716,1783,M,@I101@,@I98@,@I97@
Charity,Middleton,1716,-1,F,@I102@,@I100@,@I99@
Levi,Luckett,1762,1829,M,@I103@,@I102@,@I101@
Letitia,Peyton,-1,1821,F,@I104@,,
Alfred Peyton,Luckett,1801,1853,M,@I105@,@I104@,@I103@
Susan Evaline,Hobbs,1809,1881,F,@I106@,,
Edward Hobbs,Luckett,1828,1859,M,@I107@,@I106@,@I105@
Ann Hartley,Murry,-1,-1,F,@I108@,,
