first,last,birth,death,gender,id,mother,father
Victoria,Hanover,1819,1901,F,@I1@,@I138@,@I133@
Albert Augustus Charles,,1819,1861,M,@I2@,@I140@,@I139@
Victoria Adelaide Mary,,1840,1901,F,@I3@,@I1@,@I2@
Edward_VII,Wettin,1841,1910,M,@I4@,@I1@,@I2@
Alice Maud Mary,,1843,1878,F,@I5@,@I1@,@I2@
Alfred Ernest Albert,,1844,1900,M,@I6@,@I1@,@I2@
Helena Augusta Victoria,,1846,1923,F,@I7@,@I1@,@I2@
Louise Caroline Alberta,,1848,1939,F,@I8@,@I1@,@I2@
Arthur William Patrick,,1850,1942,M,@I9@,@I1@,@I2@
Leopold George Duncan,,1853,1884,M,@I10@,@I1@,@I2@
Beatrice Mary Victoria,,1857,1944,F,@I11@,@I1@,@I2@
Alexandra of_Denmark "Alix",,1844,1925,F,@I12@,@I226@,@I225@
Albert Victor Christian,,1864,1892,M,@I13@,@I12@,@I4@
George_V,Windsor,1865,1936,M,@I14@,@I12@,@I4@
Louise Victoria Alexandra,,1867,1931,F,@I15@,@I12@,@I4@
Victoria Alexandra Olga,,1868,1935,F,@I16@,@I12@,@I4@
Maude Charlotte Mary,,1869,1938,F,@I17@,@I12@,@I4@
John Alexander,,1871,1871,M,@I18@,@I12@,@I4@
George Victor of_Waldeck,,1831,1889,M,@I19@
Frederick_III,,1831,1888,M,@I20@,@I427@,@I412@
William_II,,1859,1941,M,@I21@,@I3@,@I20@
Louis_IV of_Hesse,,1837,1892,M,@I22@,@I358@,@I357@
Helena Frederica of_Waldeck,,1861,1922,F,@I23@,@I1216@,@I19@
Alice of_Athlone,,1883,1981,F,@I24@,@I23@,@I10@
Henry Maurice of_Battenberg,,1858,1896,M,@I25@,@I348@,@I347@
Alexander of_Carisbrooke,,1886,1960,M,@I26@,@I11@,@I25@
Victoria Eugenie "Ena",,1887,1969,F,@I27@,@I11@,@I25@
Leopold,,1889,1922,M,@I28@,@I11@,@I25@
Maurice,,1891,1914,M,@I29@,@I11@,@I25@
Mary_of_Teck (May),,1867,1953,F,@I30@,@I136@,@I137@
Edward_VIII,Windsor,1894,1972,M,@I31@,@I30@,@I14@
George_VI,Windsor,1895,1952,M,@I32@,@I30@,@I14@
Mary,Windsor,1897,1965,F,@I33@,@I30@,@I14@
Henry William Frederick,Windsor,1900,1974,M,@I34@,@I30@,@I14@
George Edward Alexander,Windsor,1902,1942,M,@I35@,@I30@,@I14@
John Charles Francis,Windsor,1905,1919,M,@I36@,@I30@,@I14@
Nicholas_II Alexandrovich,Romanov,1868,1918,M,@I37@,@I41@,@I40@
Victoria Alberta of_Hesse,,1863,1950,F,@I38@,@I5@,@I22@
Alexandra Fedorovna "Alix",,1872,1918,F,@I39@,@I5@,@I22@
Alexander_III Alexandrovich,Romanov,1845,1894,M,@I40@,@I45@,@I44@
Dagmar "Marie" of_Denmark,,1847,1928,F,@I41@,@I226@,@I225@
Nicholas_I,Romanov,1796,1855,M,@I42@,@I1295@,@I1294@
Charlotte of_Prussia,,1798,1860,F,@I43@,@I410@,@I162@
Alexander_II Nicholoevich,Romanov,1818,1881,M,@I44@,@I43@,@I42@
Marie of_Hesse- Darmstadt,,1824,1880,F,@I45@,@I350@,@I349@
Olga Nicholovna,Romanov,1895,1918,F,@I46@,@I39@,@I37@
Tatiana Nicholovna,,1897,1918,F,@I47@,@I39@,@I37@
Maria Nicholovna,Romanov,1899,1918,F,@I48@,@I39@,@I37@
Anastasia Nicholovna,Romanov,1901,1918,F,@I49@,@I39@,@I37@
Alexis Nicolaievich,Romanov,1904,1918,M,@I50@,@I39@,@I37@
Elizabeth Angela Marguerite,Bowes-Lyon,1900,-1,F,@I51@,@I146@,@I145@
Elizabeth_II Alexandra Mary,Windsor,1926,-1,F,@I52@,@I51@,@I32@
Margaret Rose,Windsor,1930,-1,F,@I53@,@I51@,@I32@
Anthony Charles Robert,Armstrong-Jones,1930,-1,M,@I54@
David Albert Charles,Armstrong-Jones,1961,-1,M,@I55@,@I53@,@I54@
Sarah Frances Elizabeth,Armstrong-Jones,1964,-1,F,@I56@,@I53@,@I54@
Philip,Mountbatten,1921,-1,M,@I57@,@I101@,@I104@
Charles Philip Arthur,Windsor,1948,-1,M,@I58@,@I52@,@I57@
Anne Elizabeth Alice,Windsor,1950,-1,F,@I59@,@I52@,@I57@
Andrew Albert Christian,Windsor,1960,-1,M,@I60@,@I52@,@I57@
Edward Anthony Richard,Windsor,1964,-1,M,@I61@,@I52@,@I57@
Mark Anthony Peter,Phillips,1948,-1,M,@I62@,@I2968@
Peter Mark Andrew,Phillips,1977,-1,M,@I63@,@I59@,@I62@
Zara Anne Elizabeth,Phillips,1981,-1,F,@I64@,@I59@,@I62@
Diana Frances,Spencer,1961,-1,F,@I65@,@I93@,@I239@
Marina of_Greece,,1906,1968,F,@I66@,@I1362@,@I229@
Edward George Nicholas,Windsor,1935,-1,M,@I67@,@I66@,@I35@
Henry George Charles,Lascelles,1882,1947,M,@I68@
Alice Christabel,Montagu-Douglas,1901,-1,F,@I69@,@I1607@,@I803@
Bessiewallis,Warfield,1896,1986,F,@I70@,@I172@,@I171@
Charles Haakon_VII,,1872,1957,M,@I71@,@I605@,@I604@
Henry of_Prussia,,1862,1929,M,@I72@,@I3@,@I20@
Sigismund,,1864,1866,M,@I73@,@I3@,@I20@
Victoria,,1866,1929,F,@I74@,@I3@,@I20@
Waldemar,,1868,1879,M,@I75@,@I3@,@I20@
Sophie of_Prussia,,1870,1932,F,@I76@,@I3@,@I20@
Charlotte of_Saxe- Meiningen,,1860,1919,F,@I77@,@I3@,@I20@
