"Partei: Nr.","Partei: Kurzbezeichnung","Partei: Name","These: Nr.","These: Titel","These: These","Position: Position","Position: Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Wir lehnen ein generelles Tempolimit auf Autobahnen ab und setzen stattdessen auf innovative, moderne Verkehrssteuerung. An Gefahrenstellen bestehen schon heute Tempolimits, um die Verkehrssicherheit zu erhöhen."
2,"SPD","Sozialdemokratische Partei Deutschlands",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Ein Tempolimit von 130 km/h auf Bundesautobahnen schützt die Umwelt und senkt die Unfallzahlen deutlich. Außerdem erhöht es die Reichweite von Elektrofahrzeugen deutlich - und diese werden in Zukunft eine Großteil der Fahrzeuge ausmachen."
3,"AfD","Alternative für Deutschland",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen. Flexible, situationsgerechte Streckenbeeinflussungsanlagen stellen eine gute Alternative dar."
4,"FDP","Freie Demokratische Partei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Ein generelles Tempolimit auf Autobahnen führt weder zu besserem Klimaschutz im Verkehrssektor noch zu mehr Verkehrssicherheit. Ein aktiver und wirkungsvoller Beitrag für den Klimaschutz wäre es, den Verkehrssektor in das Europäische Emissionshandelssystem aufzunehmen. So könnten Emissionen durch Marktanreize an der richtigen Stelle eingespart werden, dort, wo es am effizientesten ist. Zudem bietet intelligente und innovative Verkehrslenkung enorme Möglichkeiten."
5,"DIE LINKE","DIE LINKE",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Deutschland ist das einzige Land in Europa und der industrialisierten Welt ohne Tempolimit. Dabei ist erwiesen, dass dadurch die Zahl von schweren Unfällen und Todesfällen im Straßenverkehr verringert würden. Und Tempolimits sind besser fürs Klima. "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Um die Anzahl schwerer Unfälle zu vermindern und ein entspanntes Fahren ohne krasse Geschwindigkeitsunterschiede zu ermöglichen, ist die Einführung eines allgemeinen Sicherheitstempos wie in allen anderen europäischen Ländern geboten. Das hilft auch dem Klima und dafür gibt es auch in unserem Land breite gesellschaftliche Mehrheiten."
7,"FREIE WÄHLER","FREIE WÄHLER",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Wir sind gegen die Forderungen, ein generelles Tempolimit auf Autobahnen einzuführen. Geschwindigkeitsbegrenzungen sollten ausschließlich der Sicherheit oder dem Anwohnerschutz dienen. Für den Klimaschutz halten wir andere Lenkungsmaßnahmen wie die CO2-Bepreisung für angemessener."
8,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Und zwar 136 km/h, das sind 6 km/h mehr als SPD und die fiesen Grünen planen. Das bringt uns haufenweise konservative Wähler, und Deutschland liegt damit europaweit noch immer auf Platz 1, direkt hinter Polen (140 km/h). Ausnahme: illegale Autorennen!"
9,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Wir befürworten eine generelle Tempobeschränkung von 130 km/h auf Autobahnen. Dies erhöht die Sicherheitder Verkehrsteilnehmer:innen und dient dem Schutz der Umwelt."
10,"NPD","Nationaldemokratische Partei Deutschlands",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Statt auch in der Verkehrspolitik mit immer mehr Verboten und immer absurderen Regeln zu arbeiten, sollte die Verkehrsplanung verbessert werden, um Staus und Unfälle zu reduzieren. Statt die Diskussion zu ideologisieren, sollte zur Kenntnis genommen werden, dass Autobahnen schon jetzt die sichersten Straßen sind. Zu einer Versachlichung gehört auch ein internationaler Vergleich: Länder mit generellem Tempolimit schneiden, was das Sicherheitsniveau betrifft, nicht besser ab als Deutschland."
11,"PIRATEN","Piratenpartei Deutschland",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Hierzu gibt es keine abschließende Position. Wer aber für Klimapolitik steht muss auch ortsbezogen Anpassungen vornehmen können. Eine generelle Tempolimit könnte allerdings mit einem Volksentscheid gelöst werden. "
12,"ÖDP","Ökologisch-Demokratische Partei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Die ÖDP steht für 120 km/h auf Autobahnen, 80 km/h außerorts und 30 km/h innerorts mit Ausnahme geeigneter Hauptstraßen. Wir wollen damit einen besseren Verkehrsfluss, Energieeinsparungen, einen geringeren CO2-Ausstoss, weniger Lärm, niedrigere Unfallzahlen und ein entspannteres Fahren ermöglichen."
13,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Es ist ein generelles Tempolimit erforderlich. Dafür sprechen nicht nur die sinkenden Emissionen sondern auch die Reduzierung von Unfallzahlen und eine geringere Schwere betreffend Personen- und Sachschäden der Unfälle bei geringeren Geschwindigkeiten. "
14,"DiB","DEMOKRATIE IN BEWEGUNG",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Wir setzen uns für ein flächendeckendes Tempolimit von 130 km/h auf Autobahnen ein, da dies zum einen die Umwelt schon, zum anderen aber auch Unfälle zu vermeiden hilft."
15,"BP","Bayernpartei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Besser wäre ein elektronisch gesteuertes Verkehrsleitsystem."
16,"Tierschutzallianz","Allianz für Menschenrechte, Tier- und Naturschutz",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral",
17,"MLPD","Marxistisch-Leninistische Partei Deutschlands",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Die Parole ,,Freie Fahrt für freie Bürger"" ist Ausdruck eines rücksichtslos-egoistischen Freiheitsbegriffs. Das Tempolimit würde das Fahrverhalten auf den Autobahnen beruhigen, den Verkehrsfluss sogar fördern, Energie sparen und die Unfallzahlen weiter nach unten drücken.  "
18,"Gesundheitsforschung","Partei für Gesundheitsforschung",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral","Die Partei für Gesundheitsforschung ist eine Ein-Themen-Partei, die als einziges Ziel hat, die Entwicklung wirksamer Medizin gegen Alterskrankheiten wie Krebs und Alzheimer zu beschleunigen. Sie setzt sich dafür ein, dass mehr staatliche Forschungsinstitute gebaut und betrieben werden und die entsprechenden Fachbereiche an den Universitäten ausgebaut werden. Ihr Ziel will sie in Zusammenarbeit mit anderen Parteien erreichen. In alle anderen politischen Themen will sie sich nicht einmischen."
